year,month,j_hom,cdc_hom,time,Sign,Effective,stdpop
1999,1,3,75,1,0,0,15795400
1999,2,5,80,2,0,0,15795400
1999,3,6,84,3,0,0,15795400
1999,4,0,67,4,0,0,15795400
1999,5,3,84,5,0,0,15795400
1999,6,2,81,6,0,0,15795400
1999,7,4,95,7,0,0,15795400
1999,8,2,59,8,0,0,15795400
1999,9,5,78,9,0,0,15795400
1999,10,1,93,10,0,0,15795400
1999,11,1,69,11,0,0,15795400
1999,12,1,99,12,0,0,15795400
2000,1,5,92,13,0,0,16047500
2000,2,0,74,14,0,0,16047500
2000,3,2,72,15,0,0,16047500
2000,4,2,77,16,0,0,16047500
2000,5,4,92,17,0,0,16047500
2000,6,4,70,18,0,0,16047500
2000,7,5,84,19,0,0,16047500
2000,8,0,79,20,0,0,16047500
2000,9,1,69,21,0,0,16047500
2000,10,4,74,22,0,0,16047500
2000,11,2,71,23,0,0,16047500
2000,12,3,83,24,0,0,16047500
2001,1,1,87,25,0,0,16357000
2001,2,3,72,26,0,0,16357000
2001,3,2,73,27,0,0,16357000
2001,4,5,78,28,0,0,16357000
2001,5,5,81,29,0,0,16357000
2001,6,4,77,30,0,0,16357000
2001,7,2,81,31,0,0,16357000
2001,8,2,72,32,0,0,16357000
2001,9,3,86,33,0,0,16357000
2001,10,3,95,34,0,0,16357000
2001,11,2,72,35,0,0,16357000
2001,12,1,95,36,0,0,16357000
2002,1,3,79,37,0,0,16689400
2002,2,4,72,38,0,0,16689400
2002,3,1,77,39,0,0,16689400
2002,4,2,84,40,0,0,16689400
2002,5,4,97,41,0,0,16689400
2002,6,5,74,42,0,0,16689400
2002,7,3,90,43,0,0,16689400
2002,8,1,85,44,0,0,16689400
2002,9,3,101,45,0,0,16689400
2002,10,3,86,46,0,0,16689400
2002,11,3,85,47,0,0,16689400
2002,12,3,78,48,0,0,16689400
2003,1,4,83,49,0,0,17004100
2003,2,3,73,50,0,0,17004100
2003,3,4,87,51,0,0,17004100
2003,4,2,85,52,0,0,17004100
2003,5,6,84,53,0,0,17004100
2003,6,4,90,54,0,0,17004100
2003,7,5,84,55,0,0,17004100
2003,8,1,101,56,0,0,17004100
2003,9,0,82,57,0,0,17004100
2003,10,1,92,58,0,0,17004100
2003,11,1,73,59,0,0,17004100
2003,12,1,70,60,0,0,17004100
2004,1,4,81,61,0,0,17415300
2004,2,2,82,62,0,0,17415300
2004,3,2,75,63,0,0,17415300
2004,4,6,84,64,0,0,17415300
2004,5,3,84,65,0,0,17415300
2004,6,4,96,66,0,0,17415300
2004,7,2,111,67,0,0,17415300
2004,8,1,94,68,0,0,17415300
2004,9,3,87,69,0,0,17415300
2004,10,2,87,70,0,0,17415300
2004,11,1,78,71,0,0,17415300
2004,12,1,73,72,0,0,17415300
2005,1,2,81,73,0,0,17842000
2005,2,5,56,74,0,0,17842000
2005,3,3,80,75,0,0,17842000
2005,4,3,74,76,1,0,17842000
2005,5,6,81,77,1,0,17842000
2005,6,5,93,78,1,0,17842000
2005,7,5,103,79,1,0,17842000
2005,8,1,84,80,1,0,17842000
2005,9,1,70,81,1,0,17842000
2005,10,5,91,82,1,1,17842000
2005,11,5,93,83,1,1,17842000
2005,12,2,92,84,1,1,17842000
2006,1,2,101,85,1,1,18167000
2006,2,4,100,86,1,1,18167000
2006,3,6,74,87,1,1,18167000
2006,4,3,94,88,1,1,18167000
2006,5,3,117,89,1,1,18167000
2006,6,3,90,90,1,1,18167000
2006,7,1,108,91,1,1,18167000
2006,8,2,107,92,1,1,18167000
2006,9,3,96,93,1,1,18167000
2006,10,1,117,94,1,1,18167000
2006,11,4,93,95,1,1,18167000
2006,12,1,117,96,1,1,18167000
2007,1,8,125,97,1,1,18367800
2007,2,8,76,98,1,1,18367800
2007,3,7,111,99,1,1,18367800
2007,4,8,113,100,1,1,18367800
2007,5,7,116,101,1,1,18367800
2007,6,13,110,102,1,1,18367800
2007,7,5,144,103,1,1,18367800
2007,8,7,104,104,1,1,18367800
2007,9,8,108,105,1,1,18367800
2007,10,15,95,106,1,1,18367800
2007,11,9,110,107,1,1,18367800
2007,12,7,112,108,1,1,18367800
2008,1,5,95,109,1,1,18527300
2008,2,6,119,110,1,1,18527300
2008,3,6,101,111,1,1,18527300
2008,4,9,105,112,1,1,18527300
2008,5,10,127,113,1,1,18527300
2008,6,10,108,114,1,1,18527300
2008,7,10,119,115,1,1,18527300
2008,8,10,93,116,1,1,18527300
2008,9,10,109,117,1,1,18527300
2008,10,8,113,118,1,1,18527300
2008,11,7,96,119,1,1,18527300
2008,12,2,115,120,1,1,18527300
2009,1,10,91,121,1,1,18652600
2009,2,11,74,122,1,1,18652600
2009,3,13,107,123,1,1,18652600
2009,4,6,91,124,1,1,18652600
2009,5,8,87,125,1,1,18652600
2009,6,9,94,126,1,1,18652600
2009,7,9,102,127,1,1,18652600
2009,8,8,108,128,1,1,18652600
2009,9,6,97,129,1,1,18652600
2009,10,7,89,130,1,1,18652600
2009,11,9,112,131,1,1,18652600
2009,12,9,82,132,1,1,18652600
2010,1,8,90,133,1,1,18843300
2010,2,5,74,134,1,1,18843300
2010,3,8,85,135,1,1,18843300
2010,4,10,112,136,1,1,18843300
2010,5,8,104,137,1,1,18843300
2010,6,7,94,138,1,1,18843300
2010,7,6,83,139,1,1,18843300
2010,8,10,94,140,1,1,18843300
2010,9,9,105,141,1,1,18843300
2010,10,7,97,142,1,1,18843300
2010,11,10,92,143,1,1,18843300
2010,12,8,84,144,1,1,18843300
2011,1,14,117,145,1,1,19107900
2011,2,11,73,146,1,1,19107900
2011,3,7,86,147,1,1,19107900
2011,4,12,93,148,1,1,19107900
2011,5,7,111,149,1,1,19107900
2011,6,18,101,150,1,1,19107900
2011,7,9,96,151,1,1,19107900
2011,8,7,96,152,1,1,19107900
2011,9,8,102,153,1,1,19107900
2011,10,9,80,154,1,1,19107900
2011,11,6,90,155,1,1,19107900
2011,12,10,98,156,1,1,19107900
2012,1,10,102,157,1,1,19355300
2012,2,9,86,158,1,1,19355300
2012,3,11,112,159,1,1,19355300
2012,4,8,87,160,1,1,19355300
